distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,distance_labels,consume_labels
6.8,4.3,46,24.0,2,SP98,0,0,0,<50,<4.7
17.3,5.6,37,21.93491124260355,1,SP98,0,0,0,<50,5.3-8
11.8,4.3,44,21.93491124260355,-3,SP98,0,0,0,<50,<4.7
15.9,5.7,46,21.93491124260355,5,SP98,0,0,0,<50,5.3-8
5.1,6.4,39,21.93491124260355,4,SP98,0,0,0,<50,5.3-8
16.1,4.5,33,21.93491124260355,6,SP98,0,0,0,<50,<4.7
11.8,4.5,43,21.93491124260355,3,SP98,0,0,0,<50,<4.7
4.2,6.0,26,21.93491124260355,5,SP98,0,0,0,<50,5.3-8
17.4,5.1,30,21.93491124260355,5,SP98,0,0,0,<50,"4.7-5,3"
23.5,6.0,25,21.93491124260355,5,SP98,0,1,0,<50,5.3-8
11.8,4.5,38,21.93491124260355,5,SP98,0,1,0,<50,<4.7
12.3,6.1,61,21.93491124260355,10,SP98,0,1,0,<50,5.3-8
16.1,5.4,24,21.93491124260355,7,E10,0,1,0,<50,5.3-8
11.8,4.3,40,21.93491124260355,10,E10,0,1,0,<50,<4.7
12.3,5.4,58,21.93491124260355,13,E10,0,0,0,<50,5.3-8
12.4,4.3,49,21.93491124260355,17,E10,0,0,0,<50,<4.7
7.0,5.2,25,21.93491124260355,17,E10,0,0,0,<50,"4.7-5,3"
11.8,4.1,37,21.93491124260355,10,E10,0,0,0,<50,<4.7
20.1,4.4,41,21.93491124260355,18,E10,0,0,0,<50,<4.7
20.8,4.5,45,21.93491124260355,10,E10,0,0,0,<50,<4.7
1.7,10.8,14,21.93491124260355,10,E10,0,1,0,<50,8-12.2
35.9,4.7,45,21.93491124260355,12,E10,0,0,0,<50,<4.7
36.9,4.8,52,21.93491124260355,5,E10,0,0,0,<50,"4.7-5,3"
16.8,4.0,46,21.93491124260355,8,E10,0,0,0,<50,<4.7
9.9,5.0,28,21.93491124260355,9,E10,0,0,0,<50,"4.7-5,3"
22.9,4.6,61,21.93491124260355,7,E10,0,1,0,<50,<4.7
17.3,5.0,61,21.93491124260355,6,E10,1,1,0,<50,"4.7-5,3"
11.8,4.3,37,21.93491124260355,7,E10,0,0,0,<50,<4.7
36.6,5.2,80,21.93491124260355,7,E10,0,1,0,<50,"4.7-5,3"
44.9,4.7,62,21.93491124260355,8,E10,0,0,0,<50,<4.7
11.8,4.2,34,21.93491124260355,9,E10,0,1,0,<50,<4.7
21.6,5.3,44,21.93491124260355,9,E10,0,1,0,<50,"4.7-5,3"
39.4,5.3,60,21.93491124260355,9,E10,0,1,0,<50,"4.7-5,3"
5.1,8.1,39,21.93491124260355,4,E10,0,0,0,<50,8-12.2
26.6,4.8,38,21.93491124260355,7,E10,0,0,0,<50,"4.7-5,3"
53.2,5.1,71,21.93491124260355,2,E10,0,0,0,50-100,"4.7-5,3"
18.9,4.4,53,21.93491124260355,2,E10,0,0,0,<50,<4.7
43.5,5.0,80,21.93491124260355,3,E10,0,0,0,<50,"4.7-5,3"
6.1,6.3,26,21.93491124260355,5,E10,0,0,0,<50,5.3-8
16.4,4.8,49,21.93491124260355,5,E10,0,0,0,<50,"4.7-5,3"
12.3,6.1,40,21.93491124260355,6,E10,0,0,0,<50,5.3-8
21.1,4.6,36,21.93491124260355,8,E10,0,0,0,<50,<4.7
21.1,4.8,43,21.93491124260355,7,E10,0,0,0,<50,"4.7-5,3"
22.7,4.7,55,21.93491124260355,6,E10,0,0,0,<50,<4.7
44.4,4.8,38,21.93491124260355,8,E10,0,0,0,<50,"4.7-5,3"
35.8,4.4,51,21.93491124260355,6,E10,0,0,0,<50,<4.7
11.8,4.9,44,21.93491124260355,0,E10,0,0,0,<50,"4.7-5,3"
26.2,4.9,42,21.93491124260355,6,E10,0,0,0,<50,"4.7-5,3"
40.6,4.4,44,21.0,3,E10,0,0,0,<50,<4.7
12.4,5.3,38,21.0,-5,E10,0,0,0,<50,"4.7-5,3"
14.1,5.3,47,21.0,-3,E10,0,0,0,<50,"4.7-5,3"
58.7,4.8,75,21.0,0,E10,0,0,0,50-100,"4.7-5,3"
16.2,5.2,29,21.0,0,E10,0,0,0,<50,"4.7-5,3"
12.3,4.9,50,21.93491124260355,0,E10,0,0,0,<50,"4.7-5,3"
12.3,7.1,52,21.93491124260355,0,E10,1,1,0,<50,5.3-8
12.4,5.2,51,21.93491124260355,1,E10,0,0,0,<50,"4.7-5,3"
31.8,4.7,59,21.93491124260355,3,E10,0,0,0,<50,<4.7
12.3,5.1,55,21.93491124260355,8,E10,0,0,0,<50,"4.7-5,3"
51.6,5.0,73,21.93491124260355,12,E10,0,0,0,50-100,"4.7-5,3"
38.6,4.6,44,21.93491124260355,10,E10,0,0,0,<50,<4.7
12.3,4.8,41,21.93491124260355,7,E10,0,0,0,<50,"4.7-5,3"
81.2,4.4,69,22.0,13,E10,0,0,0,50-100,<4.7
130.3,4.6,85,22.0,12,E10,0,0,0,100-150,<4.7
67.2,4.3,67,22.0,18,E10,0,0,0,50-100,<4.7
43.7,4.7,44,22.0,9,SP98,0,1,0,<50,<4.7
12.1,4.2,43,22.0,4,SP98,0,0,0,<50,<4.7
56.1,4.8,82,22.0,13,SP98,0,0,0,50-100,"4.7-5,3"
39.0,4.1,61,22.0,16,SP98,0,0,0,<50,<4.7
11.8,4.5,41,21.93491124260355,13,SP98,0,0,0,<50,<4.7
38.5,4.8,63,21.93491124260355,14,SP98,0,0,0,<50,"4.7-5,3"
28.2,4.6,54,21.93491124260355,14,SP98,0,0,0,<50,<4.7
2.9,7.4,24,21.93491124260355,14,SP98,0,0,0,<50,5.3-8
6.1,5.6,24,21.93491124260355,13,SP98,0,0,0,<50,5.3-8
19.6,4.9,43,21.93491124260355,13,SP98,0,0,0,<50,"4.7-5,3"
22.2,3.8,42,21.93491124260355,15,SP98,0,0,0,<50,<4.7
13.6,4.5,44,19.0,18,SP98,0,0,0,<50,<4.7
12.6,4.1,33,21.93491124260355,17,SP98,0,0,0,<50,<4.7
